City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
Mar del Plata,-38.0023,-57.5575,62.62,55,0,15.01,AR,1628099781
Baoqing,46.3317,132.2111,70.75,86,81,5.73,CN,1628099830
Hobart,-42.8794,147.3294,48.06,72,95,1.01,AU,1628099736
Namtsy,62.7161,129.6658,55.51,60,49,3.42,RU,1628099831
Bredasdorp,-34.5322,20.0403,58.32,88,47,3.44,ZA,1628099832
Rikitea,-23.1203,-134.9692,71.87,70,14,14.63,PF,1628099832
Torbay,47.6666,-52.7314,74.88,61,90,23.02,CA,1628099832
Singaparna,-7.3515,108.111,70.99,98,75,0.74,ID,1628099833
Avera,33.194,-82.5271,82.71,47,38,4.97,US,1628099833
Tuktoyaktuk,69.4541,-133.0374,53.6,71,40,10.36,CA,1628099834
Hilo,19.7297,-155.09,75.79,87,90,5.75,US,1628099705
Călineşti,44.8167,25.05,78.08,44,83,3.78,RO,1628099834
Lebu,-37.6167,-73.65,59.95,66,57,16.06,CL,1628099834
Riverton,40.5219,-111.9391,89.53,34,1,1.99,US,1628099835
Port Elizabeth,-33.918,25.5701,62.89,88,75,5.75,ZA,1628099835
Lavrentiya,65.5833,-171.0,55.0,79,91,12.84,RU,1628099836
Lüderitz,-26.6481,15.1594,55.89,86,5,4.68,NA,1628099779
Magdagachi,53.45,125.8,59.04,92,100,7.18,RU,1628099836
Battipaglia,40.6109,14.9852,88.12,52,64,2.44,IT,1628099837
Kupang,-10.1667,123.5833,75.09,82,9,9.66,ID,1628099837
Faanui,-16.4833,-151.75,78.98,76,61,14.41,PF,1628099837
Ushuaia,-54.8,-68.3,53.26,47,75,16.11,AR,1628099687
Saint Paul Harbor,57.79,-152.4072,53.11,82,40,4.61,US,1628099838
Deputatsky,69.3,139.9,38.23,68,21,3.36,RU,1628099838
Sittwe,20.15,92.9,79.54,91,100,11.92,MM,1628099839
Kommunar,59.6206,30.39,62.13,63,78,3.18,RU,1628099839
Champasak,14.75,106.0,74.68,99,100,1.28,LA,1628099840
Hithadhoo,-0.6,73.0833,81.84,78,100,7.31,MV,1628099840
Jefferson City,38.5767,-92.1735,83.57,44,3,2.59,US,1628099776
